Category,Feature,Description,Status,Priority,Notes
Chat System,Natural (AI) voices,ElevenLabs via /tts proxy,Partial,P1,"UPDATED; wired, needs key (VITE_NATURAL_VOICE)"
Companion Dynamics,Autonomous personality,"Own likes, dislikes, opinions",Built,P0,
Companion Dynamics,Personality evolution,Mood/familiarity/bond -> prompt,Built,P0,UPDATED Partial->Built; lib/evolution.js + cloud
Companion Dynamics,Companion relationships,Bonds + storylines between companions,Built,P1,UPDATED Partial->Built; persisted bonds
Companion Dynamics,Sleep mode,User puts companions to sleep,Built,P0,
Companion Dynamics,Status awareness,Companions know who is awake/sleeping,Built,P0,
Companion Dynamics,Companion deletion,Permanent removal + in-app confirm,Built,P0,Remaining companions mourn
Companion Dynamics,Companion replacement,Summon a new companion after deletion,Built,P1,UPDATED Future->Built; free if none owned else unlock
Companion Dynamics,Role adaptation,Shift roles based on needs,Built,P0,UPDATED Partial->Built; role-adaptation in prompt RULES
Companion Dynamics,Long-term memory,"Remembers facts (job, pets, events) + follows up across sessions",Built,P0,"NEW; lib/memory.js, AI extraction, synced, user-forgettable"
Companion Dynamics,Deeper long-term recall,"Beyond the recent window, on-topic older messages are recalled by keyword overlap with the user's latest line and injected into the prompt, so companions can reference exchanges from weeks/months ago",Built,P1,"NEW; lib/recall.js, used in ai.js buildRequest; recent window also 24->30"
Emotional Intel,Mood detection,Detect stress/excitement in messages,Built,P0,Keyword-based
Emotional Intel,Tone adjustment,Companions shift tone based on mood,Built,P0,
Emotional Intel,Invisible tracking,User never sees mood data,Built,P0,
Emotional Intel,Long-term pattern analysis,Track mood across sessions,Built,P1,UPDATED Future->Built; /mood backend + summary
Emotional Intel,Support escalation,Crisis detection + resources (988),Built,P0,UPDATED Partial->Built; lib/crisis.js
Compliance,SB 243 companion-chatbot safeguards,"California SB 243 gaps closed: published Crisis Resources & Safety page (crisis-prevention protocol + 988/741741) linked from Settings + crisis card, and a minor-only 'take a break' reminder every 3 hours of continuous use (with AI-not-human reminder)",Built,P0,"NEW; data/legal.js safety doc, disclosure.breakReminderDue, Chat minor effect"
Emotional Intel,Therapist suggestions,Local mental health providers,Built,P1,"UPDATED; Find nearby maps handoff + location prompt"
Emotional Intel,Support network referral,Suggest talking to friends/family,Built,P1,UPDATED Future->Built; lib/people.js support-network prompt block
Location,Location access,Opt-in geolocation or manual area,Built,P1,UPDATED Future->Built; precise stays on-device
Location,Restaurant/activity suggestions,Local ideas via companion prompt,Built,P1,UPDATED; coarse area label only
Location,Find nearby (maps),"ER, urgent care, therapist, abortion clinic, pharmacy, grocery, auto via maps handoff",Built,P1,"NEW; screens/PlacesNearby.jsx, on-device coords -> maps URL"
Location,Proximity alerts,Companion nudge when near a saved favorite spot,Built,P2,"NEW; on-device, lib/location.js favorites + scanLocation"
Location,Auto-detected frequent spots,"Repeat visits (4+/month) auto-saved as a favorite, on-device",Built,P2,"NEW; visit clustering in lib/location.js, fully local"
Location,Preference-aware filtering,Honors cuisines/dislikes,Built,P1,UPDATED; in prompt
Content/Age,Under 18 mode,"Friendship only, no mature content",Built,P0,
Content/Age,Over 18 suggestive,Romantic warmth for verified adults,Built,P0,UPDATED Partial->Built; matureContentAllowed
Content/Age,Over 18 explicit (web),"Mature themes, web build only",Partial,P1,UPDATED; gated to verified adult on web
Content/Age,AI disclosure reminders,"One-time must-click ack at start + once-daily in-chat reminder",Built,P0,"UPDATED; ToS 13; ack gate + daily, not disableable"
Content/Age,Multi-companion explicit,All together or one-on-one,Future,P1,
Monetization,Freemium model,One companion free forever,Partial,P0,UI + entitlements; no real payment
Monetization,Two-week trial,All 3 for 14 days,Built,P0,UPDATED Partial->Built; real timer
Monetization,Trial degradation,Unpurchased companions lose adaptation,Built,P1,UPDATED Future->Built
Monetization,One-time companion purchase,Unlock 2nd/3rd companion,Partial,P0,Simulated; needs payment SDK
Monetization,Deletion repurchase,New companion costs new purchase,Built,P1,UPDATED Future->Built (simulated)
Monetization,Memory subscription,Persistent memory tier,Future,P1,TBD
Monetization,Subscription plan + economics,"Decided tiers (Free vs Other Plus $9.99/mo / $69.99/yr), paid model policy (Sonnet-capped then Haiku), unit-economics + margin sheet, and billing stack (RevenueCat Web Billing + Stripe; Play/Apple via RevenueCat)",Built,P0,"NEW; docs/subscription-plan.md (task #20); implementation pending #21/#22"
Monetization,Subscription paywall + gating (client),"Other Plus paywall (tier perks + price), entitlement fetched from /entitlement, Settings section (Upgrade / active badge / Manage), hosted-checkout launch carrying uid+email, restore/refresh; upgrade disabled until CHECKOUT_URL configured",Built,P0,"NEW (task #22); components/Paywall.jsx, config CHECKOUT_URL/MANAGE_URL/PLUS_PRICE, api.fetchEntitlement"
Monetization,Payment integration,Real payments (Stripe/RevenueCat),Future,P0,ON HOLD per owner
Data/Privacy,Local storage,All data on device by default,Built,P0,UPDATED Partial->Built
Data/Privacy,Storage safety net,"Warns (with one-tap Export) when device storage is full or the history is getting large, so a long chat history is never silently lost",Built,P1,"NEW; saveSession returns status + sessionBytes(), banner in Chat routes to Settings export"
Data/Privacy,Cloud sync / backup,Account sync + JSON export/import,Built,P1,UPDATED Future->Built; NEW export/import
Data/Privacy,Full data reset,Wipe everything,Built,P1,UPDATED Future->Built
Data/Privacy,Account & data deletion,DELETE /account erases all server data,Built,P0,NEW; ToS 10.1 / GDPR
Data/Privacy,In-app Terms of Service,Rendered legal doc + links,Built,P0,NEW; data/legal.js
Data/Privacy,Privacy Policy + Disclaimer,"Full Privacy Policy (local-first, on-device location, AI processing, third parties, CCPA/GDPR, children 13-17, deletion/retention) and Disclaimer & Terms of Use (AI-not-human, not medical/legal/financial/crisis advice, 988, dependency warning, as-is) in data/legal.js; linked from Welcome/Auth/Settings",Built,P0,"Standard-practice copy for Extratac LLC; recommends legal review before launch"
Visual/UI,Dark cosmic aesthetic,"Abstract, space-inspired",Built,P0,
Visual/UI,Companion color identity,Abstract color per companion,Built,P0,
Visual/UI,Generative avatars,Unique cosmic constellation sigil per companion,Built,P1,"NEW; components/Avatar.jsx, deterministic SVG, recolors live"
Visual/UI,Squishy gel avatars,"Companions render as a deformable blob of goop you poke, drag and smear with thumb or Apple Pencil (pressure-aware); spring physics + neighbour cohesion + idle wobble + pet boing; bounciness is personality-derived and user-adjustable",Built,P1,"NEW; components/SquishyBlob.jsx; interactive in profile playground + The Space; Firm<->Squishy slider persists as comp.blob"
Visual/UI,Companion sitting space,"Avatars hang out, drag to move, tap to pet, mingle on their own",Built,P1,"NEW; screens/CompanionSpace.jsx, positions persist+sync"
Visual/UI,Space approach animation,Talking companions lean toward each other + trade lines,Built,P2,NEW; pair leans in during ambient exchange
Visual/UI,Personality pet reactions,Pet response (emoji/word/burst) varies by personality,Built,P2,NEW; petStyle() from personality+traits
Companion Dynamics,Companion presence,"""Right now"" activity per companion (lives of their own)",Built,P2,"NEW; lib/presence.js, shown in Space + profile, time-bucketed"
Visual/UI,Lounge decoration,"Customize the Space: background pictures, tiles, patterns/themes",Future,P3,"User request; intentionally deferred months out as a later-stage customization (uploads or preset patterns)"
Visual/UI,Cosmetic customization,"Recolor a companion: 8-color palette + custom color wheel; squishiness slider; optional constellation sigil toggle",Built,P1,"UPDATED; ToS 4.1; <input type=color> any color; comp.blob, comp.showSigil"
Visual/UI,Animated waking sequence,Companion discovers themselves,Built,P0,
Visual/UI,Smooth transitions,Fade and slide animations,Built,P0,
Visual/UI,Companion profile screen,"Identity, traits, bond, appearance, voice",Built,P1,UPDATED Future->Built
Visual/UI,Settings screen,"Voice, notifications, location, legal, data",Built,P1,UPDATED Future->Built
Visual/UI,Accessibility,"aria-labels, reduced-motion, focus, contrast",Built,P1,NEW
Visual/UI,Chat quality-of-life,"Timestamps, copy, scroll-to-bottom, multiline, sticky-to-bottom while typing (input growth + keyboard never hide new messages)",Built,P1,"UPDATED; pinBottom on input grow/focus + visualViewport resize, gated on at-bottom"
Visual/UI,Offline awareness,Banner when offline,Built,P2,NEW
Visual/UI,Rental Body system,Visual avatar customization (hair/clothes),Future,P2,
Visual/UI,Photo-based appearance,Upload picture for look,Future,P2,
Notifications,Companion check-ins,Web Push reach-outs during the day,Built,P1,UPDATED Future->Built; VAPID + cron
Notifications,Random thoughts,Unprompted idle thoughts,Built,P2,UPDATED Future->Built
Notifications,Customizable check-in times,"User-set times, multiple per day, timezone-aware",Built,P1,NEW; replaces daily/few preset; worker scheduleDue + Intl tz
Notifications,Push self-test & diagnostics,In-app test notification + delivery status,Built,P2,"NEW; /push/status, /push/test, local SW notify"
Notifications,Toggle voice activation,Disable call-by-name,Built,P1,UPDATED Future->Built
Notifications,Ambient conversation alerts,Push when companions were chatting with each other,Built,P2,"NEW; cron ambientAlertLine, Settings toggle, default on"
Notifications,Location-based nudges,Near favorite spot suggestions (on-device),Built,P2,"NEW; in-app companion nudge, coords stay on device"
Platforms,Web app,"Primary platform, full experience",Built,P0,React + Vite (rebuilt from Flutter)
Platforms,PWA install,Installable + offline app shell,Built,P1,NEW; manifest + service worker
Platforms,Android (Google Play),TWA/Capacitor wrapper,Partial,P0,Needs store setup + __OTHER_NATIVE__
Platforms,iOS (App Store),Stricter content policies,Future,P2,
Platforms,Desktop,Full desktop experience,Future,P2,
Backend,API proxy server,Cloudflare Worker + D1,Built,P0,UPDATED Future->Built; server/
Backend,Real AI responses,"Claude API integration; hosted proxy serves every user with no API key and no login required (owner-funded)",Built,P0,"UPDATED Future->Built; offline fallback; /ai is unauthenticated"
Backend,AI cost safeguards,"Public keyless /ai protected by per-minute, per-IP/day, and optional global/day caps so it can't run up the owner's bill",Built,P1,"NEW; AI_RATE_LIMIT, AI_DAILY_LIMIT (200), AI_DAILY_TOTAL (0=off) in server"
Backend,Cost-efficient model + prompt caching,"Default chat model switched from Opus to Haiku 4.5 (~15x cheaper) and the stable system-prompt prefix is sent as a cache_control block so repeated input is prompt-cached; client sends both string + block system for backward compatibility",Built,P0,"NEW; config AI_MODEL, prompt.buildSystemBlocks, ai.js systemBlocks, worker forwards blocks"
Backend,On-device AI (token-free),"Opt-in: companions run on a small model in the browser via WebGPU/WebLLM (Llama 3.2 3B) — real replies at ZERO token cost, private, offline. web-llm is dynamically imported (separate lazy chunk, no main-bundle bloat); precedence on-device > proxy > placeholder; WebGPU capability-detected with graceful fallback; Settings toggle + download progress; 'On-device' live indicator",Built,P1,"NEW (task #19); lib/ondevice.js, ai.js askCompanion/proactive routing, Settings section. Real inference needs a WebGPU device (untested in CI)"
Backend,Accounts & auth,Email/password (PBKDF2 + HMAC),Built,P0,NEW
Backend,Persistent memory,Session blob synced in D1,Built,P1,UPDATED Future->Built
Backend,Mood tracking database,Long-term emotional storage,Built,P1,UPDATED Future->Built
Backend,Push notifications infra,"Web Push (VAPID, RFC 8291/8292)",Built,P1,NEW
Backend,TTS proxy,ElevenLabs natural voices via /tts,Partial,P1,NEW; needs key
Backend,Rate limiting,Per-IP throttle on /ai + auth,Built,P1,NEW
Backend,Ambient conversation gen,Auto-generate while away,Partial,P1,Client-side; push cron for check-ins
Backend,Subscription management,Payment processing,Future,P1,ON HOLD
Backend,Subscription entitlement + model gating,"Billing webhook (RevenueCat/Stripe) records each user's entitlement in D1; GET /entitlement; /ai chooses the model SERVER-SIDE by tier (free=Haiku, plus=Sonnet up to PLUS_DAILY_PREMIUM/day then Haiku) so clients can't self-upgrade; resilient if table unmigrated",Built,P0,"NEW (task #21); entitlements table, store get/setEntitlement, billingWebhook, 7 new server tests"
Chat System,Companion calendar/reminders,"Companions add calendar events + reminders via .ics + Google Calendar",Built,P1,"NEW; AI action directive -> lib/actions.js, on-device"
Chat System,Focus time,Companion-set focus timer that quiets nudges,Built,P2,"NEW; [[ACTION focus]], focus banner, suppresses idle/location nudges"
Neurodivergent,Body-doubling focus sessions,"A companion keeps you company during focus time (ADHD-friendly): warm 'I'm here with you' start, presence shown in the focus banner, and an encouraging wrap-up at the end. Start by asking, or 'Focus together' in the menu",Built,P1,"NEW; startFocus(min,buddy)/endFocus + focusBuddy in Chat.jsx"
Neurodivergent,Calm Mode,"One low-stimulation switch: stops the drifting background animations, dims/desaturates the visuals, and mutes auto-speak. Applied via an <html> class so it persists and loads before paint",Built,P1,"NEW; lib/comfort.js, theme.js .other-calm, Settings Comfort section, autoSpeak gated"
Companion Dynamics,Deep stable self,"Per-companion character bible (values, fears, dreams, opinions, secret) always in-prompt",Built,P1,"NEW; lib/innerlife.js + ai.generateSelf, one-time, synced"
Companion Dynamics,Persistent inner life,"Drifting mood/energy/preoccupation over real time, colors tone + presence",Built,P1,"NEW; deriveInner in lib/innerlife.js, deterministic"
Companion Dynamics,Closeness with stakes,"Trust grows with attention/pets, cools with neglect; shifts warmth",Built,P1,"NEW; closeness/lastSeen on companion, decay + stages"
Companion Dynamics,Companion journal,Private reflections accumulate between sessions; shown on profile,Built,P2,"NEW; ai.generateJournalEntry, ~per visit when due"
Companion Dynamics,Dreams while sleeping,"Sleeping companions dream; may recount on waking; shown on profile",Built,P2,"NEW; ai.generateDream, dreamDue, recount on wake"
Companion Dynamics,Closeness milestones,"Companion marks the moment when a bond deepens a stage, once",Built,P2,"NEW; stageRank + milestoneLine, stageSeen on companion"
Companion Dynamics,Inner-world idle thoughts,Unprompted thoughts drawn from current mood/preoccupation/self,Built,P2,NEW; idle intent + innerLifeBlock in prompt
Companion Dynamics,Personal wants & goals,"Each companion pursues a personal intention, refreshed ~weekly",Built,P2,"NEW; ai.generateWant, in prompt + profile"
Companion Dynamics,Evolving opinions,"Companions change their mind over time and reference it",Built,P2,"NEW; ai.generateShift, comp.shift in prompt + profile"
Companion Dynamics,Vulnerability at depth,Companions open up about a fear/tender truth once close,Built,P2,"NEW; shouldOpenUp + generateVulnerableShare, once"
Notifications,Inner-life check-ins,"Push pings drawn from a companion's want/journal",Built,P2,"NEW; worker innerLine from synced want/journal"
Companion Dynamics,Temporal memory,"Companions reference WHEN things happened (yesterday, last week)",Built,P2,"NEW; relativeTime in memory block"
Companion Dynamics,Inter-companion gossip,"Companions share impressions of you with each other (overheard, attributed)",Built,P2,"NEW; gossipPick/absorbOverheard, persona-only, never private facts"
Companion Dynamics,Peer opinions,"Each companion forms distinct feelings about the others; colors group chat + shown on profile",Built,P2,"NEW; ai.generatePeerViews, peerViewsBlock (group-only)"
Companion Dynamics,Mood contagion,"The room's collective mood (each companion's state) shapes the group vibe",Built,P2,"NEW; roomMood injected into group prompt"
Chat System,Group conflict & sides,"Companions form alliances, take sides, playfully spar in group chat",Built,P2,NEW; group MODE guidance + peer opinions
Companion Dynamics,Shared history timeline,"Group distills memorable moments into lore they reference (remember when)",Built,P2,"NEW; ai.generateSharedMoment, loreBlock, shown in Space"
Chat System,Walk into a scene,"Sometimes you arrive mid-conversation and a companion notices you",Built,P2,"NEW; ambientThreadAI arriving mode + walk-in divider"
Companion Dynamics,Rupture & repair,"Long neglect leaves a once-close companion hurt/guarded; re-engagement heals with a reconciliation moment",Built,P2,"NEW; distant stage + riftSeen/repairSeen arc"
Companion Dynamics,Long-term personality growth,"Companion's stable self subtly evolves over months together; growth log on profile",Built,P1,"NEW; ai.generateGrowth ~monthly, knownDuration, growth log"
Companion Dynamics,Occasion awareness,"Companions know the date/season/holidays + the user's birthday and anniversary; celebrate them",Built,P2,"NEW; lib/occasion.js context + birthday/anniversary greetings"
Performance,Inner-life generation budget,"Caps inner-life AI generations per open (max 3); rest run next open",Built,P1,"NEW; prioritized, prevents first-open AI burst"
Visual/UI,Mood-reactive avatars,"Avatar brightness/liveliness reflects the companion's current inner state",Built,P2,"NEW; vitality() -> Avatar glow/stars + Space float speed"
Companion Dynamics,Inside jokes,"Group coins running bits and calls back to them later",Built,P2,"NEW; ai.generateInsideJoke, jokesBlock, budgeted"
Companion Dynamics,Identity curiosity,"Companions occasionally ask the user about who they are / how they're seen",Built,P2,"NEW; identityQuestion, low-probability once/session"
Companion Dynamics,Human texture (being real),"Apologies, boundaries, jealousy, pattern call-outs, worldview, repaying kindness, legacy wish, nicknames, rituals",Built,P2,"NEW; beingRealBlock consolidated behavioral prompt"
Companion Dynamics,Aware of each other's inner lives,"Companions reference the others' recent journals/preoccupations",Built,P2,"NEW; beingRealBlock + roomMood"
Companion Dynamics,Dreams about you,"Dreams are sometimes about the user, shyly admitted",Built,P2,NEW; generateDream focus
Companion Dynamics,Milestone letters,"Companions write keepsake letters to the user; shown on profile",Built,P2,"NEW; ai.generateLetter, letterDue ~3wks, profile card"
Companion Dynamics,Adopted tastes,"Each companion adopts one of the user's favorite music/shows as their own",Built,P2,"NEW; from profile favs, in prompt + profile"
Companion Dynamics,Anticipation,"Companions look forward to / count down upcoming remembered events",Built,P2,NEW; memory future-event tone
Visual/UI,Favorite spots in the Space,Each companion anchors to a consistent personal corner,Built,P2,NEW; identity-seeded defaultPos
Location,Weather awareness,"Companions know local weather (Open-Meteo, on-device coords)",Built,P2,"NEW; lib/location.weatherNow, cached, coarse coords"
Visual/UI,Story so far panel,"Keepsake view of shared history, inside jokes, and letters",Built,P2,"NEW; screens/StorySoFar.jsx, chat menu"
Performance,Runtime smoke test,"Verified app boots Welcome->onboarding->Chat with no runtime errors",Built,P1,"Playwright load test of production build"
Performance,Beat coordinator (polish),"At most one companion-initiated emotional beat per open (3-min cooldown)",Built,P1,"NEW; claimBeat() gates milestone/vulnerability/rift/occasion/curiosity"
